,marka,model,donanim,motor,yakit,vites,fiyat,websitesi,sil1,sil2
122,Audi,R8 Coupe,5.2 FSI V10 plus quattro S tronic,5200,Benzin,Otomatik,1981543.0,http://www.audi.com.tr/,,
123,Audi,R8 Coupe,5.2 FSI V10 quattro S tronic,5200,Benzin,Otomatik,1756668.0,http://www.audi.com.tr/,,
124,Audi,RS 6 Avant,4.0 TFSI 560 hp quattro tiptronic,4000,Benzin,Otomatik,1072002.0,http://www.audi.com.tr/,,
125,Audi,RS 6 Avant,4.0 TFSI 605 hp performance quattro tiptronic,4000,Benzin,Otomatik,1136307.0,http://www.audi.com.tr/,,
126,Audi,RS 7 Sportback,4.0 TFSI 560 hp quattro tiptronic,4000,Benzin,Otomatik,1135043.0,http://www.audi.com.tr/,,
127,Audi,RS 7 Sportback,4.0 TFSI 605 hp performance quattro tiptronic,4000,Benzin,Otomatik,1200199.0,http://www.audi.com.tr/,,
128,Audi,S8,4.0 TFSI 520 hp quattro tiptronic,4000,Benzin,Otomatik,1271650.0,http://www.audi.com.tr/,,
129,Audi,S8,4.0 TFSI 605 hp plus quattro tiptronic,4000,Benzin,Otomatik,1499890.0,http://www.audi.com.tr/,,
130,Audi,TT Coupe,2.0 TFSI 230 hp quattro S tronic,2000,Benzin,Otomatik,396851.0,http://www.audi.com.tr/,,
131,Audi,TTS Coupe,2.0 TFSI 310 hp quattro S tronic,2000,Benzin,Otomatik,445001.0,http://www.audi.com.tr/,,
132,Bmw,116d,1.5 116BG Joy,1500,Dizel,Otomatik,166100.0,http://www.bmw.com.tr/,,
133,Bmw,116d,1.5 116BG Joy Plus,1500,Dizel,Otomatik,169700.0,http://www.bmw.com.tr/,,
134,Bmw,116d,1.5 116BG M Plus,1500,Dizel,Otomatik,180400.0,http://www.bmw.com.tr/,,
135,Bmw,116d,1.5 116BG Pure,1500,Dizel,Otomatik,155300.0,http://www.bmw.com.tr/,,
136,Bmw,118i,1.5 136BG Joy,1500,Benzin,Otomatik,155300.0,http://www.bmw.com.tr/,,
137,Bmw,118i,1.5 136BG Joy Plus,1500,Benzin,Otomatik,158900.0,http://www.bmw.com.tr/,,
